country,state,city,station,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.31,84.53,OZONE,4.0,35.0,23.0
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63,84.9,SO2,3.0,13.0,8.0
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11,85.4,PM2.5,16.0,59.0,36.0
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11,85.4,NO2,2.0,11.0,5.0
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11,85.4,SO2,3.0,9.0,5.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.55,80.65,NO2,15.0,31.0,21.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,NO2,15.0,96.0,46.0
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27.1,93.68,CO,10.0,20.0,12.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",26.2,91.7,NO2,1.0,3.0,2.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",26.2,91.7,SO2,20.0,26.0,23.0
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25.2,85.51,CO,10.0,12.0,11.0
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25.2,85.51,OZONE,25.0,47.0,42.0
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",25.57,83.97,OZONE,3.0,19.0,6.0
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25.78,84.74,SO2,3.0,61.0,23.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",24.8,85.0,SO2,14.0,16.0,15.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.79,84.99,NH3,4.0,6.0,5.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.76,84.98,NH3,3.0,4.0,3.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.7,85.25,PM10,42.0,92.0,63.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.7,85.25,NH3,6.0,7.0,7.0
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.56,87.55,NH3,1.0,1.0,1.0
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.56,87.55,SO2,15.0,23.0,18.0
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.31,84.53,PM10,21.0,129.0,60.0
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.52,80.52,SO2,9.0,33.0,16.0
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.52,80.52,CO,3.0,160.0,39.0
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.68,77.59,PM2.5,56.0,103.0,74.0
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.68,77.59,SO2,10.0,12.0,11.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.2,79.1,PM2.5,50.0,145.0,87.0
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",25.43,86.14,CO,28.0,62.0,48.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26.8,84.52,NH3,4.0,5.0,5.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.11,91.59,NH3,15.0,81.0,19.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.11,91.59,CO,14.0,44.0,23.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",26.19,91.74,PM2.5,1.0,71.0,34.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",26.19,91.74,PM10,12.0,52.0,29.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26.18,91.78,PM2.5,18.0,97.0,61.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.99,81.74,SO2,10.0,11.0,10.0
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",13.67,79.35,NO2,9.0,29.0,18.0
